[0614/154712:ERROR:tcp_socket_win.cc(815)] connect failed: 10047
[0614/154712:ERROR:tcp_socket_win.cc(815)] connect failed: 10047
[0614/155026:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
[0615/183005:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0615/195737:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0615/202834:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0615/212456:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0615/220830:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
[0615/220833:ERROR:gpu_process_transport_factory.cc(437)] Failed to establish GPU channel.
[0618/161546:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
[0618/202317:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0618/202317:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213235:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213241:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213247:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213253:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213259:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213305:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213311:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213317:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213323:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213329:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213335:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213341:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213347:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213353:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213359:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213405:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213411:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213417:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213423:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213429:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213435:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213441:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213447:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213453:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213459:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213505:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213511:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213517:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213523:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213529:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213535:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213541:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213547:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213553:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213559:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213605:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213611:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213617:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213623:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213629:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213635:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213641:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213647:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213653:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213659:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213705:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213711:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213717:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213723:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213729:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213735:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213741:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0619/213747:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
